egid;xkoordinaten;ykoordinaten;energietraeger;nutzungsart;fahrzeugladestation;wirtschaftseinheit
;2605951.2;1229670.5;Fernwärme;Verwaltungsvermögen;;2102-07
;2605978.7;1229573.8;Fernwärme;Verwaltungsvermögen;;2102-53
;2605984.5;1229877.8;-;Verwaltungsvermögen;;2102-74
;2605987.3;1229678.2;Fernwärme;Verwaltungsvermögen;;2102-06
;2606050.2;1229518.3;Fernwärme;Verwaltungsvermögen;;2102-11
;2606060.3;1229564.9;;Verwaltungsvermögen;;2102-52
;2606098.7;1229599.8;;Verwaltungsvermögen;;2102-54
;2606102.1;1229557.9;Fernwärme;Verwaltungsvermögen;;2102-56
;2606113.2;1229591.1;Fernwärme;Verwaltungsvermögen;;2102-51
;2606117.8;1229574.4;-;Verwaltungsvermögen;;2102-50
;2606124.4;1229572.8;Fernwärme;Verwaltungsvermögen;;2102-09
;2606398.4;1229082.1;-;Verwaltungsvermögen;;2113-02
;2606457;1227419;;Verwaltungsvermögen;;3144-01
;2606514.1;1229647.3;-;Verwaltungsvermögen;;1110-02
;2606568.3;1229650.1;Erdgas;Verwaltungsvermögen;;1110-03
;2606773;1228788;Fernwärme;Verwaltungsvermögen;;3143-01
;2607155.3;1228868.3;Fernwärme;Finanzvermögen;;3104-03
;2607177.6;1228961.4;-;Finanzvermögen;;3104-06
;2607405.9;1228690.2;Fernwärme;Verwaltungsvermögen;;3132-01
;2607408.1;1228878.8;Fernwärme;Anmietobjekte;;4142-02
;2607423.2;1227621.8;;Verwaltungsvermögen;;2110-33
;2607425;1229258;Fernwärme;Verwaltungsvermögen;;1101-03
;2607447.2;1228623.3;Erdgas;Verwaltungsvermögen;;3136-01
;2607450;1228686.1;Fernwärme;Verwaltungsvermögen;;3134-01
;2607463;1229275;Fernwärme;Verwaltungsvermögen;;1101-02
;2607468;1228597.4;;Finanzvermögen;;3110-01
;2607473;1228599;;Finanzvermögen;;3105-01
;2607488.2;1227563.7;;Verwaltungsvermögen;;2110-13
;2607520.1;1227750.8;Fernwärme;Verwaltungsvermögen;;2110-21
;2607541;1229339;Fernwärme;Verwaltungsvermögen;;1101-06
;2607591.7;1227813.5;;Verwaltungsvermögen;;2110-22
;2607601;1229236;Fernwärme;Verwaltungsvermögen;;1101-04
;2607788.9;1228128.8;;Anmietobjekte;;4114-01
;2607840;1228821;-;Anmietobjekte;;4116-01
;2607893;1228257;Fernwärme;Anmietobjekte;;4124-01
;2607956.3;1229095.6;Fernwärme;Verwaltungsvermögen;;1102-02
;2607959.3;1229039.4;Fernwärme;Verwaltungsvermögen;;1102-03
;2607390;1229236;Erdgas;Verwaltungsvermögen;;1101-05
;2613153.8;1230615;Elektro;Verwaltungsvermögen;;3406-12
;2613152.8;1230661;-;Verwaltungsvermögen;;3406-25
;2613319.2;1230679.5;Holzschnitzel;Verwaltungsvermögen;;3406-26
;2610075.1;1228071;-;Verwaltungsvermögen;;3416-02
;2608021.6;1229021.3;Fernwärme;Verwaltungsvermögen;;1102-04
;2609416.4;1231542.1;-;Verwaltungsvermögen;;1208-03
;2609472.8;1231584.6;Pellet;Verwaltungsvermögen;;1208-04
;2609548.8;1231647.6;-;Verwaltungsvermögen;;1208-05
;2609377.4;1231494.8;Pellet;Verwaltungsvermögen;;1208-14
;2609541.6;1231670.9;-;Verwaltungsvermögen;;1208-15
;2609476;1231661;-;Verwaltungsvermögen;;1208-16
;2609447;1231610;-;Verwaltungsvermögen;;1208-17
;2597114;1226020;-;Verwaltungsvermögen;;1213-02
;2597100;1226016;;Verwaltungsvermögen;;1213-03
;2596707.1;1226701.1;;Verwaltungsvermögen;;1215-02
;2613545.3;1242177.2;Heizöl;Verwaltungsvermögen;;1509-02
;2619208.4;1240409.3;;Verwaltungsvermögen;;1510-02
;2619193.7;1240369.8;Heizöl;Verwaltungsvermögen;;1510-05
;2635534.3;1244223.8;Heizöl;Verwaltungsvermögen;;1711-04
;2635640.4;1244262.8;;Verwaltungsvermögen;;1712-02
;2635624.8;1244264.7;;Verwaltungsvermögen;;1712-03
;2635474.5;1244136.9;Erdgas;Finanzvermögen;;1715-01
;2635064.3;1245241.9;;Verwaltungsvermögen;;1717-03
;2634992.8;1245231.1;Luft;Verwaltungsvermögen;;1717-04
;2606191.1;1229637.4;Fernwärme;Verwaltungsvermögen;;2102-08
;2606554.1;1229762.5;;Verwaltungsvermögen;;2102-55
;2606185.7;1229954.8;-;Verwaltungsvermögen;;2102-79
;2607662.8;1227574.8;Fernwärme;Verwaltungsvermögen;;2110-04
;2607510;1227657;;Verwaltungsvermögen;;2110-08
;2607580.3;1227606.8;;Verwaltungsvermögen;;2110-18
;2607581.1;1227533;Fernwärme;Verwaltungsvermögen;;2110-20
;2597628.5;1227368.5;;Verwaltungsvermögen;;2213-05
;2627259.6;1242226.6;Heizöl;Verwaltungsvermögen;;2603-02
;2627350.9;1242270.8;;Verwaltungsvermögen;;2603-03
;2627237.6;1242429.6;;Verwaltungsvermögen;;2603-04
;2627145;1242190.9;Heizöl;Verwaltungsvermögen;;2603-05
;2627264.3;1242179.1;;Verwaltungsvermögen;;2603-06
;2627308.3;1242252;;Verwaltungsvermögen;;2603-08
;2627182.4;1242177.3;;Verwaltungsvermögen;;2603-09
;2635064.2;1245241.8;Erdgas;Finanzvermögen;;2705-06
;2628356.3;1244654.1;;Finanzvermögen;;2714-02
;2628345.4;1244680.1;;Finanzvermögen;;2714-03
;2628230.6;1244715;;Finanzvermögen;;2714-08
;2628263;1244623.9;;Finanzvermögen;;2714-12
;2628396.8;1244655.4;;Finanzvermögen;;2714-13
;2628061.2;1244664.3;;Finanzvermögen;;2714-14
;2613217.3;1259504.3;;Verwaltungsvermögen;;2911-08
;2613203.9;1259422.4;;Verwaltungsvermögen;;2911-11
;2613128.7;1259571.6;;Verwaltungsvermögen;;2911-12
;2607925.6;1250461.7;Heizöl;Verwaltungsvermögen;;3005-01
;2607941.1;1250443;Heizöl;Verwaltungsvermögen;;3005-03
;2563816;1224222.1;;Finanzvermögen;;3007-03
;2607262.4;1249301.8;;Verwaltungsvermögen;;3008-02
;2599527.1;1253139.4;;Verwaltungsvermögen;;3009-01
;2599639.6;1252992.7;;Verwaltungsvermögen;;3009-02
;2607019.7;1229760.9;-;Finanzvermögen;;3112-01
;2605128.5;1228742.9;-;Verwaltungsvermögen;;3208-03
;2608661.7;1229960.4;-;Finanzvermögen;;3210-03
;2608697.2;1229973.9;-;Finanzvermögen;;3210-04
;2606783.1;1230007.7;;Finanzvermögen;;3214-03
;2606779.8;1229883.8;;Finanzvermögen;;3214-04
;2599912.4;1215910.9;;Verwaltungsvermögen;;3302-01
;2605992.3;1222268.3;-;Finanzvermögen;;3304-01
;2610029.4;1227967.9;-;Verwaltungsvermögen;;3416-03
;2607355.5;1227205.7;Heizöl;Verwaltungsvermögen;;3420-01
;2607312.5;1227190.6;;Verwaltungsvermögen;;3420-03
;2619310.7;1240604.1;Fernwärme;Verwaltungsvermögen;;3507-03
;2619343.4;1240600.5;Fernwärme;Verwaltungsvermögen;;3507-04
;2620445.2;1241341.5;;Finanzvermögen;;3511-01
;2619292;1239353.9;;Verwaltungsvermögen;1;3515-02
;2602058;1234640;;Verwaltungsvermögen;;3517-01
;2621282.1;1237181.1;;Verwaltungsvermögen;;3607-03
;2621304.4;1237184.4;;Verwaltungsvermögen;;3607-08
;2621258.8;1237194.1;;Verwaltungsvermögen;;3607-11
;2621910.4;1237806.4;;Finanzvermögen;;3609-02
;2635124.8;1244544.9;Fernwärme;Verwaltungsvermögen;;3701-02
;2634520.3;1243790.4;;Verwaltungsvermögen;;3709-02
;2637450.5;1248970.8;;Stiftungsvermögen;;3804-02
;2637510.5;1248993.4;;Stiftungsvermögen;;3804-03
;2637407.1;1248982;;Stiftungsvermögen;;3804-04
;2637182;1248900;;Stiftungsvermögen;;3804-05
;2637416.5;1248942.8;;Stiftungsvermögen;;3804-07
;2636831.7;1248544.3;;Stiftungsvermögen;;3804-08
;2637656.5;1248872.3;;Stiftungsvermögen;;3804-09
;2612799;1259736.4;;Verwaltungsvermögen;;3901-01
;2612825.4;1259702.2;;Verwaltungsvermögen;;3903-02
;2612809.1;1259734.5;;Verwaltungsvermögen;;3904-02
;2615872.4;1258635.9;;Verwaltungsvermögen;;3909-01
;2602205.5;1257387.6;;Finanzvermögen;;3911-01
;2614559.4;1258235.5;;Verwaltungsvermögen;;3914-01
;2607627.8;1229038.5;-;Anmietobjekte;;4126-01
;2607456;1228889;;Anmietobjekte;;4142-04
;2607507;1228590.8;;Anmietobjekte;;4151-01
;2609442.9;1228047.3;;Anmietobjekte;;4403-01
;2611218.7;1227176.1;;Anmietobjekte;;4408-01
;2604941;1230544.9;;Verwaltungsvermögen;;5245-01
;2610993.4;1229840.5;;Finanzvermögen;;5426-21
;2610951.6;1230253.3;-;Finanzvermögen;;5426-23
;2611044.5;1230270;;Finanzvermögen;;5426-24
1764599;;;Erdgas;Finanzvermögen;;2102-72
1764606;;;Fernwärme;Verwaltungsvermögen;;2102-01
1764799;;;Erdgas;Finanzvermögen;;3106-01
1764801;;;Erdgas;Verwaltungsvermögen;;3117-01
1764806;;;Erdgas;Verwaltungsvermögen;;3118-01
1764807;;;Fernwärme;Verwaltungsvermögen;;3116-01
1764833;;;Erdgas;Finanzvermögen;;3107-01
1764932;;;;Anmietobjekte;;4107-01
1765176;;;;Anmietobjekte;;4120-01
1765233;;;Erdgas;Verwaltungsvermögen;;1111-01
1765323;;;Fernwärme;Anmietobjekte;;4142-05
1765394;;;Erdgas;Finanzvermögen;;3130-01
1765754;;;;Anmietobjekte;;4102-01
1766022;;;Fernwärme;Finanzvermögen;;3128-01
1766051;;;;Anmietobjekte;;4146-01
1766060;;;Fernwärme;Verwaltungsvermögen;;1107-02
1766088;;;Fernwärme;Verwaltungsvermögen;;3148-01
1766280;;;Fernwärme;Verwaltungsvermögen;;2110-10
1766281;;;;Verwaltungsvermögen;;2110-09
1766282;;;;Verwaltungsvermögen;;2110-07
1766283;;;;Verwaltungsvermögen;;2110-11
1766284;;;;Verwaltungsvermögen;;2110-12
1766286;;;;Verwaltungsvermögen;;2110-01
190106028;;;Fernwärme;Verwaltungsvermögen;;2102-05
190124583;;;Grundwasser;Verwaltungsvermögen;;3406-24
190194124;;;Heizöl;Verwaltungsvermögen;;1711-03
190203393;;;;Verwaltungsvermögen;;3521-01
190504800;;;Erdwärme;Verwaltungsvermögen;;1716-01
190663149;;;Fernwärme;Verwaltungsvermögen;;1102-01
191220192;;;Fernwärme;Verwaltungsvermögen;1;1107-04
191335490;;;Fernwärme;Verwaltungsvermögen;;1107-06
191411312;;;Heizöl;Verwaltungsvermögen;;1711-02
191480672;;;;Verwaltungsvermögen;;2110-06
191533794;;;Fernwärme;Verwaltungsvermögen;;1717-02
191567732;;;Luft;Verwaltungsvermögen;;3906-01
191610655;;;-;Verwaltungsvermögen;;1208-24
191610656;;;-;Verwaltungsvermögen;;1208-23
191610657;;;-;Verwaltungsvermögen;;1208-22
191957044;;;;Verwaltungsvermögen;;3714-02
2121944;;;Fernwärme;Verwaltungsvermögen;;1107-01
2122652;;;Fernwärme;Verwaltungsvermögen;;3131-01
2122748;;;Fernwärme;Verwaltungsvermögen;;3115-01
2122750;;;Fernwärme;Verwaltungsvermögen;;3133-01
2122781;;;;Anmietobjekte;;4122-01
2122940;;;Holzschnitzel;Verwaltungsvermögen;;1213-01
2123177;;;;Anmietobjekte;;4128-01
2123259;;;Fernwärme;Anmietobjekte;3;4143-01
2123265;;;Fernwärme;Anmietobjekte;2;4142-01
2123267;;;Erdgas;Verwaltungsvermögen;;3123-01
2123268;;;Erdgas;Verwaltungsvermögen;;3120-01
2123269;;;Fernwärme;Verwaltungsvermögen;7;4135-01
2123271;;;Fernwärme;Verwaltungsvermögen;;3138-01
2123283;;;;Anmietobjekte;;4119-01
2123755;;;Erdgas;Finanzvermögen;;3109-01
2124260;;;Fernwärme;Verwaltungsvermögen;;3137-01
2124268;;;Fernwärme;Stiftungsvermögen;;3121-01
2124269;;;Fernwärme;Verwaltungsvermögen;;3124-01
2127237;;;Pellet;Verwaltungsvermögen;;3008-01
2129346;;;Holzschnitzel;Verwaltungsvermögen;;1014-01
2129667;;;;Anmietobjekte;;4110-01
2129909;;;Erdgas;Verwaltungsvermögen;;1110-01
2130862;;;Holzschnitzel;Verwaltungsvermögen;;3416-01
2131365;;;;Anmietobjekte;;4104-01
2131539;;;Erdgas;Verwaltungsvermögen;;3113-01
2131540;;;;Anmietobjekte;;4115-01
2131808;;;Fernwärme;Verwaltungsvermögen;;1101-01
2132009;;;Erdgas;Verwaltungsvermögen;;2113-01
2132225;;;Fernwärme;Verwaltungsvermögen;;2112-01
2132229;;;Fernwärme;Finanzvermögen;;3104-02
3007756;;;Erdgas;Verwaltungsvermögen;;1107-05
3008915;;;Fernwärme;Finanzvermögen;;3104-01
3013857;;;Fernwärme;Verwaltungsvermögen;;3101-01
3013867;;;Fernwärme;Anmietobjekte;;4142-03
340477;;;;Verwaltungsvermögen;;3903-01
362217;;;Fernwärme;Verwaltungsvermögen;1;3208-01
367741;;;Erdgas;Verwaltungsvermögen;;2102-73
367757;;;Erdgas;Verwaltungsvermögen;;2102-78
369161;;;Pellet;Verwaltungsvermögen;;1208-11
369162;;;Pellet;Verwaltungsvermögen;;1208-01
369164;;;Heizöl;Verwaltungsvermögen;;1208-06
376404;;;;Verwaltungsvermögen;;3708-01
376868;;;Erdgas;Verwaltungsvermögen;;1710-02
376872;;;Erdwärme;Verwaltungsvermögen;;1710-01
377167;;;Heizöl;Verwaltungsvermögen;;1711-01
9023765;;;Heizöl;Verwaltungsvermögen;;1712-01
369163;;;Pellet;Verwaltungsvermögen;;1208-02
369165;;;Heizöl;Verwaltungsvermögen;;1208-12
369159;;;Heizöl;Verwaltungsvermögen;;1208-13
1706205;;;Erdgas;Verwaltungsvermögen;;1215-01
335760;;;Heizöl;Verwaltungsvermögen;;1509-01
333774;;;Heizöl;Verwaltungsvermögen;;1510-01
3003442;;;Heizöl;Verwaltungsvermögen;;1720-01
367758;;;Erdgas;Verwaltungsvermögen;;2102-80
3012029;;;;Verwaltungsvermögen;;2110-05
330447;;;Heizöl;Verwaltungsvermögen;;2603-01
1701231;;;Erdgas;Finanzvermögen;;2705-03
191666813;;;Erdgas;Finanzvermögen;;2705-04
1701232;;;Erdgas;Finanzvermögen;;2705-05
374908;;;Heizöl;Finanzvermögen;;2714-01
374907;;;Heizöl;Finanzvermögen;;2714-04
374910;;;Heizöl;Finanzvermögen;;2714-06
502181591;;;;Finanzvermögen;;2714-07
502181596;;;;Finanzvermögen;;2714-09
502181601;;;;Finanzvermögen;;2714-10
502181599;;;;Finanzvermögen;;2714-11
340572;;;;Verwaltungsvermögen;;2911-06
502339224;;;;Verwaltungsvermögen;;3002-01
386165;;;Heizöl;Verwaltungsvermögen;;3003-01
3013418;;;Erdgas;Stiftungsvermögen;;3201-01
363276;;;Erdgas;Stiftungsvermögen;;3201-02
363275;;;Erdgas;Stiftungsvermögen;;3201-03
363277;;;Erdgas;Stiftungsvermögen;;3201-05
363310;;;Heizöl;Finanzvermögen;;3210-01
370065;;;Erdgas;Verwaltungsvermögen;;3212-01
369720;;;;Finanzvermögen;;3214-01
369719;;;;Finanzvermögen;;3214-02
361153;;;Heizöl;Verwaltungsvermögen;;3216-01
1704905;;;Erdgas;Verwaltungsvermögen;;3220-01
338781;;;Fernwärme;Finanzvermögen;;3301-01
351859;;;Fernwärme;Verwaltungsvermögen;;3418-01
350735;;;Heizöl;Verwaltungsvermögen;;3420-02
334761;;;;Verwaltungsvermögen;;3506-01
333962;;;Fernwärme;Verwaltungsvermögen;;3507-01
333961;;;Fernwärme;Verwaltungsvermögen;;3507-02
2123430;;;Heizöl;Finanzvermögen;;3509-01
502131213;;;;Verwaltungsvermögen;;3514-01
3013682;;;;Verwaltungsvermögen;;3515-01
334818;;;;Finanzvermögen;;3520-01
330355;;;;Finanzvermögen;;3602-01
502129133;;;;Verwaltungsvermögen;;3603-01
1701063;;;;Finanzvermögen;;3604-01
2126081;;;;Verwaltungsvermögen;;3605-01
191351497;;;;Verwaltungsvermögen;;3605-02
191050750;;;;Verwaltungsvermögen;;3605-03
190097647;;;;Verwaltungsvermögen;1;3607-01
1701009;;;;Finanzvermögen;;3609-01
160011107;;;;Finanzvermögen;;3609-03
376438;;;Fernwärme;Verwaltungsvermögen;;3701-01
378645;;;Erdgas;Verwaltungsvermögen;;3705-01
378475;;;Erdgas;Verwaltungsvermögen;;3709-01
378588;;;Erdgas;Verwaltungsvermögen;;3710-01
380105;;;;Verwaltungsvermögen;;3711-01
382347;;;Heizöl;Finanzvermögen;;3715-01
345198;;;;Stiftungsvermögen;;3804-01
345197;;;;Stiftungsvermögen;;3804-06
347328;;;;Finanzvermögen;;3810-01
339454;;;;Finanzvermögen;;3902-01
340515;;;;Verwaltungsvermögen;;3904-01
342390;;;Heizöl;Verwaltungsvermögen;;3917-01
385930;;;;Anmietobjekte;;4001-01
2353744;;;;Anmietobjekte;;4004-01
385943;;;;Anmietobjekte;;4005-01
388746;;;;Anmietobjekte;;4007-01
1766107;;;Erdgas;Anmietobjekte;;4153-01
1704317;;;;Anmietobjekte;;4211-01
351986;;;;Anmietobjekte;1;4407-01
358271;;;;Anmietobjekte;;4410-01
333778;;;;Finanzvermögen;;4514-01
160005156;;;;Anmietobjekte;;4606-01
375472;;;;Anmietobjekte;1;4702-01
3009770;;;;Anmietobjekte;;4705-01
374785;;;;Anmietobjekte;;4707-01
371832;;;Heizöl;Anmietobjekte;;4708-01
190602788;;;;Anmietobjekte;;4718-01
378968;;;;Anmietobjekte;;4720-01
378751;;;;Anmietobjekte;;4723-01
378884;;;;Anmietobjekte;;4725-01
1701453;;;;Anmietobjekte;;4803-01
342648;;;;Anmietobjekte;;4903-01
340511;;;;Anmietobjekte;;4905-01
357895;;;Grundwasser;Finanzvermögen;;5426-01
